Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
57fd540f16e7428cc107b0d37f2dbfba5d1d50b90110423e45d93b2def4b6a40,2021-07,Metropolitan Police Service,Metropolitan Police Service,-0.134564,51.508946,On or near Supermarket,E01004736,Westminster 018C,Investigation complete; no suspect identified
361d172b8ea49fbbb8f3a506f3ca12fb8cb12cecbcb90ffef37e1dc867f20b3c,2021-07,Metropolitan Police Service,Metropolitan Police Service,-0.174979,51.515957,On or near LONDON STREET,E01004682,Westminster 016B,Investigation complete; no suspect identified
975258ac9f192b247b5bb3d3d52547c95ee63af3b666cefa0129c3d4d3d88ae9,2021-07,Metropolitan Police Service,Metropolitan Police Service,-0.14021,51.513622,On or near LITTLE MARLBOROUGH STREET,E01033595,Westminster 013E,Investigation complete; no suspect identified
096b6ba3b3507f58d74ce3c537894a9b4c162af49e0cc5ef3632229aa523a43c,2021-07,Metropolitan Police Service,Metropolitan Police Service,-0.13526,51.514487,On or near WARDOUR MEWS,E01033595,Westminster 013E,Investigation complete; no suspect identified
b5a3a4a2a60426a61f5a2781baaf7eb9cf05624033e6f7fd87365fed117bce97,2021-07,Metropolitan Police Service,Metropolitan Police Service,-0.168869,51.528505,On or near NORTH BANK,E01004725,Westminster 003B,Investigation complete; no suspect identified
7f20f43c0d227b89210fba70f9e1b24a87fbb4613837a167acb78c117ee11a7a,2021-07,Metropolitan Police Service,Metropolitan Police Service,-0.141281,51.493315,On or near WILTON ROAD,E01004749,Westminster 022B,Investigation complete; no suspect identified
400b7dcd87f05204e4d6469b184cb7897ad262d5f1ee87b26bd8c852993216be,2021-07,Metropolitan Police Service,Metropolitan Police Service,-0.152797,51.489963,On or near BLOOMFIELD TERRACE,E01004667,Westminster 023C,Investigation complete; no suspect identified
9d808ab1ec60341d678b06df2f8c06022857b709c6fe1444a6e3bdb5f8924425,2021-07,Metropolitan Police Service,Metropolitan Police Service,-0.190181,51.51604,On or near WESTBOURNE GROVE TERRACE,E01004654,Westminster 014B,Investigation complete; no suspect identified
b87078b257c729b99cea7d8a38d50c6e1cf6c804105905bbb7b3d5d7e4b164c0,2021-07,Metropolitan Police Service,Metropolitan Police Service,-0.167555,51.499475,On or near MONTPELIER WALK,E01004688,Westminster 019B,Investigation complete; no suspect identified
ae9f7fd700614db5dfbb6d5eccda3569479dbccc03ab59a3e2a8966f6d66a212,2021-07,Metropolitan Police Service,Metropolitan Police Service,-0.196646,51.526067,On or near GRITTLETON ROAD,E01004675,Westminster 005B,Investigation complete; no suspect identified
62e3ae84144a5ac88b46d3e213f9a4e2b007eb6e337e5b1404057b0a5f8d95ca,2021-07,Metropolitan Police Service,Metropolitan Police Service,-0.057538,51.62405,On or near Shopping Area,E01001429,Enfield 030D,Investigation complete; no suspect identified
a999223e2f2c5eff2162a64ac1411af2d3101288105557dc4b0174d17731f653,2021-07,Metropolitan Police Service,Metropolitan Police Service,-0.288486,51.41457,On or near AUDRIC CLOSE,E01002935,Kingston upon Thames 003A,Investigation complete; no suspect identified
565b296fa9316291708cfcb380798109647ba187344894fdbb54c8af25fc087f,2021-07,Metropolitan Police Service,Metropolitan Police Service,-0.25113,51.453622,On or near SHERFIELD GARDENS,E01004574,Wandsworth 013B,Investigation complete; no suspect identified
